,Unnamed: 0,NP,NP_Synthesis,shape,method,Bacteria,time (hr),Phylum,Class,Order,Family,Superkingdom,bac_type,gram,isolated_from,NP_concentration (μg/ml),NP size_min (nm),NP size_max (nm),"min_Incub_period, h","growth_temp, C",biosafety_level,Genus,Species
271,271,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,4.0,11.0,22.0,48.0,37.0,2.0,Escherichia,Escherichia coli
272,272,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,4.0,11.0,22.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
273,273,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Listeria monocytogenes,24.0,Bacillota,Bacilli,Bacillales,Listeriaceae,Bacteria,pathogenic,p,food,8.0,11.0,22.0,24.0,37.0,2.0,Listeria,Listeria monocytogenes
274,274,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,8.0,11.0,22.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
275,275,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Bacillus cereus,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,pathogenic,p,food,8.0,11.0,22.0,4.0,30.0,2.0,Bacillus,Bacillus cereus
276,276,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Salmonella typhimurium,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,meat,8.0,11.0,22.0,6.0,37.0,2.0,Salmonella,Salmonella enterica subsp. enterica serovar Typhimurium
277,277,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,8.0,11.0,22.0,48.0,37.0,2.0,Escherichia,Escherichia coli
278,278,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,8.0,11.0,22.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
279,279,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Listeria monocytogenes,24.0,Bacillota,Bacilli,Bacillales,Listeriaceae,Bacteria,pathogenic,p,food,10.0,11.0,22.0,24.0,37.0,2.0,Listeria,Listeria monocytogenes
280,280,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,10.0,11.0,22.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
281,281,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Bacillus cereus,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,pathogenic,p,food,10.0,11.0,22.0,4.0,30.0,2.0,Bacillus,Bacillus cereus
282,282,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Salmonella typhimurium,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,meat,10.0,11.0,22.0,6.0,37.0,2.0,Salmonella,Salmonella enterica subsp. enterica serovar Typhimurium
283,283,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,10.0,11.0,22.0,48.0,37.0,2.0,Escherichia,Escherichia coli
284,284,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,10.0,11.0,22.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
285,285,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Candida albicans,24.0,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Eukaryota,pathogenic,f,mouth,8.0,11.0,22.0,48.0,37.0,2.0,Candida,Candida albicans
286,286,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Aspergillus niger,24.0,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Eukaryota,pathogenic,f,soil,8.0,11.0,22.0,24.0,30.0,1.0,Aspergillus,Aspergillus niger
287,287,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Aspergillus flavus,24.0,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Eukaryota,opportunistic pathogen,f,soil,8.0,11.0,22.0,24.0,37.0,2.0,Aspergillus,Aspergillus flavus
288,288,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Candida albicans,24.0,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Eukaryota,pathogenic,f,mouth,10.0,11.0,22.0,48.0,37.0,2.0,Candida,Candida albicans
289,289,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Aspergillus niger,24.0,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Eukaryota,pathogenic,f,soil,10.0,11.0,22.0,24.0,30.0,1.0,Aspergillus,Aspergillus niger
290,290,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,disc_diffusion,Aspergillus flavus,24.0,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Eukaryota,opportunistic pathogen,f,soil,10.0,11.0,22.0,24.0,37.0,2.0,Aspergillus,Aspergillus flavus
291,291,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,4.0,17.5,89.0,0.16,30.0,1.0,Bacillus,Bacillus subtilis
292,292,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,4.0,17.5,89.0,48.0,37.0,2.0,Escherichia,Escherichia coli
293,293,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,4.0,17.5,89.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
294,294,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,8.0,17.5,89.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
295,295,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,8.0,17.5,89.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
296,296,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,8.0,17.5,89.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
297,297,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,12.0,17.5,89.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
298,298,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,12.0,17.5,89.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
299,299,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,12.0,17.5,89.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
300,300,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,16.0,17.5,89.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
301,301,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,16.0,17.5,89.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
302,302,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,16.0,17.5,89.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
303,303,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,0.3,6.0,34.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
304,304,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,1.0,6.0,34.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
305,305,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,2.0,6.0,34.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
306,306,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,0.3,6.0,34.0,48.0,37.0,2.0,Escherichia,Escherichia coli
307,307,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,1.0,6.0,34.0,48.0,37.0,2.0,Escherichia,Escherichia coli
308,308,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,0.3,20.0,40.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
309,309,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,1.0,20.0,40.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
310,310,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,2.0,20.0,40.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
311,311,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,0.3,20.0,40.0,48.0,37.0,2.0,Escherichia,Escherichia coli
312,312,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,1.0,20.0,40.0,48.0,37.0,2.0,Escherichia,Escherichia coli
313,313,Ag,chem_synthesis using hydrogen tetrachloroaureate,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.0,20.0,40.0,48.0,37.0,2.0,Escherichia,Escherichia coli
314,314,Ag,green_synthesis from fungus,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,1000.0,8.0,20.0,48.0,37.0,2.0,Escherichia,Escherichia coli
315,315,Ag,green_synthesis from fungus,spherical,well_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,1000.0,8.0,20.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
316,316,Ag,green_synthesis from fungus,spherical,well_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,1000.0,8.0,20.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
317,317,Ag,green_synthesis from fungus,spherical,well_diffusion,Enterococcus faecalis,24.0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Bacteria,pathogenic,p,urine,1000.0,8.0,20.0,24.0,37.0,2.0,Enterococcus,Enterococcus faecalis
318,318,Ag,green_synthesis from fungus,spherical,well_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,1000.0,8.0,20.0,0.16,30.0,1.0,Bacillus,Bacillus subtilis
319,319,Ag,green_synthesis from fungus,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,1000.0,8.0,20.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
320,320,Ag,green_synthesis from fungus,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,1000.0,8.0,20.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
321,321,Ag,green_synthesis from fungus,spherical,well_diffusion,Candida albicans,24.0,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Eukaryota,pathogenic,f,mouth,1000.0,8.0,20.0,48.0,37.0,2.0,Candida,Candida albicans
322,322,Ag,green_synthesis from A. comosus extract,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,5.0,5.0,20.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
323,323,Ag,green_synthesis from A. comosus extract,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,5.0,5.0,20.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
324,324,Ag,green_synthesis from A. comosus extract,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,10.0,5.0,20.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
325,325,Ag,green_synthesis from A. comosus extract,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,10.0,5.0,20.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
326,326,Ag,green_synthesis by Deinococcus radiodurans,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,80.0,43.75,90.0,48.0,37.0,2.0,Escherichia,Escherichia coli
327,327,Ag,green_synthesis by Deinococcus radiodurans,triangular,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,80.0,43.75,90.0,48.0,37.0,2.0,Escherichia,Escherichia coli
328,328,Ag,green_synthesis by Deinococcus radiodurans,spherical,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,80.0,43.75,90.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
329,329,Ag,green_synthesis by Deinococcus radiodurans,triangular,disc_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,80.0,43.75,90.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
330,330,Ag,green_synthesis using Olea europaea and Acacia nilotica,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,0.2,45.0,45.0,48.0,37.0,2.0,Escherichia,Escherichia coli
331,331,Ag,green_synthesis using Olea europaea and Acacia nilotica,spherical,disc_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,0.2,45.0,45.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
332,332,Ag,green_synthesis using Olea europaea and Acacia nilotica,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,0.2,45.0,45.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
333,333,Ag,green_synthesis using Olea europaea and Acacia nilotica,spherical,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,0.2,45.0,45.0,0.16,30.0,1.0,Bacillus,Bacillus subtilis
334,334,Ag,green_synthesis using Olea europaea and Acacia nilotica,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,1.0,45.0,45.0,48.0,37.0,2.0,Escherichia,Escherichia coli
335,335,Ag,green_synthesis using Olea europaea and Acacia nilotica,spherical,disc_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,1.0,45.0,45.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
336,336,Ag,green_synthesis using Olea europaea and Acacia nilotica,spherical,disc_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,1.0,45.0,45.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
337,337,Ag,green_synthesis using Olea europaea and Acacia nilotica,spherical,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,1.0,45.0,45.0,0.16,30.0,1.0,Bacillus,Bacillus subtilis
338,338,Ag,green_synthesis using Olea europaea and Acacia nilotica,spherical,disc_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,2.0,45.0,45.0,48.0,37.0,2.0,Escherichia,Escherichia coli
339,339,Ag,green_synthesis using Olea europaea and Acacia nilotica,spherical,disc_diffusion,Klebsiella pneumoniae,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,opportunistic pathogen,n,respiratory tract,2.0,45.0,45.0,24.0,30.0,2.0,Klebsiella,Klebsiella pneumoniae
340,340,Ag,green_synthesis using Olea europaea and Acacia nilotica,spherical,disc_diffusion,Bacillus subtilis,24.0,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria,non-pathogenic,p,soil,2.0,45.0,45.0,0.16,30.0,1.0,Bacillus,Bacillus subtilis
341,341,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,500.0,54.4,110.4,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
342,342,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,250.0,57.1,68.7,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
343,343,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,125.0,42.8,56.2,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
344,344,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,500.0,54.4,110.4,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
345,345,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,250.0,57.1,68.7,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
346,346,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,125.0,42.8,56.2,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
347,347,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,500.0,54.4,110.4,48.0,37.0,2.0,Escherichia,Escherichia coli
348,348,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,250.0,57.1,68.7,48.0,37.0,2.0,Escherichia,Escherichia coli
349,349,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,125.0,42.8,56.2,48.0,37.0,2.0,Escherichia,Escherichia coli
350,350,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,250.0,93.2,115.6,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
351,351,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,125.0,56.9,103.7,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
352,352,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,250.0,93.2,115.6,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
353,353,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,125.0,56.9,103.7,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
354,354,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,250.0,93.2,115.6,48.0,37.0,2.0,Escherichia,Escherichia coli
355,355,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Escherichia coli,24.0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria,pathogenic,n,urine,125.0,56.9,103.7,48.0,37.0,2.0,Escherichia,Escherichia coli
356,356,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,200.0,10.0,12.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
357,357,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,400.0,10.0,12.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
358,358,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,400.0,10.0,12.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
359,359,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,600.0,10.0,12.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
360,360,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Pseudomonas aeruginosa,24.0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria,opportunistic pathogen,n,soil,600.0,10.0,12.0,24.0,37.0,2.0,Pseudomonas,Pseudomonas aeruginosa
361,361,Ag,green_synthesis using L. rhinocerotis extracts,spherical,well_diffusion,Staphylococcus aureus,24.0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria,pathogenic,p,skin,800.0,10.0,12.0,24.0,37.0,2.0,Staphylococcus,Staphylococcus aureus
